"Tavon Austin, LA",Sea,7th,4,2,5,5,0,81,0,2,2,2.1,3000,0.72,Sun 4:05
"Josh Bellamy, Chi",Min,26th,4,10,114,17,0,0,0,0,0,5.3,3000,1.78,Mon 8:30
"Arrelious Benn, Jax",@Pit,3rd,4,1,12,1,0,0,0,0,0,0.6,3000,0.18,Sun 1:00
"Victor Bolden, SF",@Ind,29th,3,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Kendrick Bourne, SF",@Ind,29th,1,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Quan Bray, Ind",SF,27th,4,1,22,2,0,0,0,1,0,0.8,3000,0.27,Sun 1:00
"Noah Brown, Dal",GB,14th,3,1,13,1,0,0,0,0,0,0.8,3000,0.26,Sun 4:25
"Damiere Byrd, Car",@Det,18th,4,0,0,4,0,12,0,0,0,0.3,3000,0.1,Sun 1:00
"Michael Campanaro, Bal",@Oak,9th,4,5,28,8,0,14,0,2,0,2.3,3000,0.77,Sun 4:05
"Leonte Carroo, Mia",Ten,31st,3,0,0,2,0,0,0,0,0,0,3000,0,Sun 1:00
"Jehu Chesson, KC",@Hou,11th,1,0,0,0,0,0,0,0,0,0,3000,0,Sun 8:30
"Kaelin Clay, Buf",@Cin,6th,3,1,28,4,0,0,0,1,0,1.3,3000,0.42,Sun 1:00
"Keelan Cole, Jax",@Pit,3rd,4,4,36,15,0,0,0,1,0,1.9,3000,0.63,Sun 1:00
"Stacy Coley, Min",@Chi,23rd,1,0,0,0,0,0,0,0,0,0,3000,0,Mon 8:30
"Pharoh Cooper, LA",Sea,7th,4,1,4,2,0,0,0,1,1,0.1,3000,0.03,Sun 4:05
"Cody Core, Cin",Buf,10th,4,0,0,2,0,0,0,0,0,0,3000,0,Sun 1:00
"Amara Darboh, Sea",@LA,13th,4,3,26,7,0,0,0,0,0,1.4,3000,0.47,Sun 4:05
"Trevor Davis, GB",@Dal,24th,4,1,9,1,0,0,0,0,0,0.5,3000,0.16,Sun 4:25
"Alex Erickson, Cin",Buf,10th,4,4,62,6,0,2,0,0,0,2.6,3000,0.87,Sun 1:00
"Isaiah Ford, Mia",Ten,31st,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Shelton Gibson, Phi",Ari,25th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Chris Godwin, TB",NE,28th,3,3,44,5,0,0,0,0,0,2.5,3000,0.82,Thu 8:25
"Brittan Golden, Ari",@Phi,30th,4,2,50,5,0,0,0,0,0,1.8,3000,0.58,Sun 1:00
"Jakeem Grant, Mia",Ten,31st,3,1,12,1,0,0,0,1,0,0.7,3000,0.24,Sun 1:00
"Chad Hansen, NYJ",@Cle,12th,3,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Dwayne Harris, NYG",LAC,19th,4,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Darrius Heyward-Bey, Pit",Jax,1st,4,0,0,0,0,3,0,0,0,0.1,3000,0.03,Sun 1:00
"Krishawn Hogan, Ind",SF,27th,1,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Mack Hollins, Phi",Ari,25th,4,3,32,3,0,0,0,0,0,1.6,3000,0.52,Sun 1:00
"Johnny Holton, Oak",Bal,5th,4,1,64,1,1,0,0,0,0,3.4,3000,1.12,Sun 4:05
"Justin Hunter, Pit",Jax,1st,1,1,5,2,0,0,0,0,0,1.5,3000,0.5,Sun 1:00
"Darius Jennings, Ten",@Mia,20th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Marcus Johnson, Phi",Ari,25th,3,0,0,1,0,0,0,0,0,0,3000,0,Sun 1:00
"TJ Jones, Det",Car,15th,4,8,128,12,0,0,0,0,0,5.7,3000,1.9,Sun 1:00
"Roger Lewis, NYG",LAC,19th,4,7,73,9,0,0,0,0,0,3.6,3000,1.19,Sun 1:00
"Josh Malone, Cin",Buf,10th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Jalin Marshall, NYJ",@Cle,12th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Chris Matthews, Bal",@Oak,9th,4,2,20,3,0,0,0,0,0,1,3000,0.33,Sun 4:05
"Max McCaffrey, Jax",@Pit,3rd,3,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Tanner McEvoy, Sea",@LA,13th,4,0,0,3,0,0,0,0,0,0,3000,0,Sun 4:05
